City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
334,Erdenet,MN,49.0333,104.0833,4.8,68,100,3.69,overcast clouds
335,Caucaia,BR,-3.7361,-38.6531,89.55,75,75,16.11,broken clouds
336,Moerai,PF,-22.4333,-151.3333,76.19,70,95,10.04,overcast clouds
337,Camalu,MX,30.85,-116.0667,51.42,78,97,4.32,overcast clouds
338,Cascais,PT,38.6979,-9.4215,66.51,87,75,8.01,broken clouds
339,Burnie,AU,-41.0667,145.9167,57.92,90,17,2.15,few clouds
340,Lompoc,US,34.6391,-120.4579,48.42,88,75,0.0,broken clouds
341,Domoni,KM,-12.2569,44.5319,82.8,78,100,3.65,overcast clouds
342,Takoradi,GH,4.8845,-1.7554,85.01,64,100,9.46,overcast clouds
343,Katangli,RU,51.7102,143.2326,-17.82,95,95,10.09,overcast clouds
344,Bulawayo,ZW,-20.15,28.5833,79.32,49,67,11.34,broken clouds
345,Karlovac,HR,45.4872,15.5478,39.74,91,98,0.83,overcast clouds
346,Coquimbo,CL,-29.9533,-71.3436,64.13,82,90,9.22,overcast clouds
347,Vila Franca Do Campo,PT,37.7167,-25.4333,70.2,89,97,30.67,overcast clouds
348,Puerto Escondido,MX,15.85,-97.0667,82.17,59,0,2.44,clear sky
349,Varnamo,SE,57.186,14.04,32.76,96,100,5.99,overcast clouds
350,Lasa,IT,46.6166,10.7002,43.54,95,100,1.3,overcast clouds
351,Bandarbeyla,SO,9.4942,50.8122,77.18,64,20,15.59,few clouds
352,Djibo,BF,14.1022,-1.6306,85.82,9,75,13.29,broken clouds
353,Shimanovsk,RU,52.0,127.7,-17.21,90,81,4.76,broken clouds
354,Montrose,US,38.4166,-108.2673,19.74,84,100,14.99,light snow
355,Shiyan,CN,32.6475,110.7781,40.03,63,73,5.14,broken clouds
356,Salinopolis,BR,-0.6136,-47.3561,84.7,67,89,10.4,overcast clouds
357,Guerrero Negro,MX,27.9769,-114.0611,59.09,59,88,15.23,overcast clouds
358,Pangoa,PE,-12.1167,-73.0,88.07,47,100,3.58,overcast clouds
359,Santa Cruz Cabralia,BR,-16.2781,-39.0247,79.03,94,40,5.75,light rain
360,Machinga,MW,-15.1685,35.3,83.52,42,96,5.26,overcast clouds
361,Sandwick,GB,60.0,-1.25,44.42,81,20,10.36,few clouds
362,Fortuna,US,40.5982,-124.1573,40.66,95,90,5.99,overcast clouds
363,Iseyin,NG,7.9667,3.6,94.57,14,55,5.39,broken clouds
364,Magaria,NE,12.9983,8.9099,82.65,11,0,10.67,clear sky
365,Saint-Augustin,CA,51.226,-58.6502,27.1,81,18,11.32,few clouds
366,Saint-Joseph,RE,-21.3667,55.6167,77.38,82,93,14.99,light rain
367,Ambovombe,MG,-25.1667,46.0833,76.41,83,100,10.18,light rain
368,Saint George,US,37.1041,-113.5841,42.94,66,90,7.0,overcast clouds
